Product URL,Product Name,Product Price,Rating,Number of Reviews
/Killer-Backpack-Compartments-Polyester-Waterproof/dp/B07C9XHZT1,KILLER Louis 38L Large Laptop Backpack With 3 Compartments Polyester Trendy Waterproof Travel Backpack,"₹1,749₹1,749",4.4 out of 5 stars,"9,470"
/Half-Moon-College-Spacious-Multiple/dp/B0C23Z9W18,Half Moon Aztec 37L School Bag Class 5-12 | College Bagpack for Men/College Back pack for Women | 15.6 inch Laptop Bag for Men/Backpack for Men | Spacious & Multiple Pockets,₹529₹529,3.5 out of 5 stars,356
/Skybags-Cardiff-Polyester-Travel-DFCAR55BLU/dp/B073JYDK7P,Skybags Cardiff Polyester 55 Cms Travel Duffle Bag (Blue),"₹1,099₹1,099",4.2 out of 5 stars,"9,963"
/Arctic-Fox-Anti-Theft-Backpack-Charging/dp/B089QCNBWH,Arctic Fox Alarm Zipper System | Anti-Theft Backpack with USB Charging Port | 15.5 Inch Laptop Bag (Glitch Black),"₹1,899₹1,899",4.3 out of 5 stars,398
/Ezee-Garbage-Bag-inches-Pieces/dp/B06VX8YR6Q,Ezee Black Medium Garbage Bags 90 Pcs | 19 X 21 Inch | 30 Pcs x Pack of 3 | Dustbin Trash Bag,₹155₹155,4.2 out of 5 stars,"28,702"
N/A,N/A,N/A,N/A,N/A
/gp/bestsellers/kitchen/1380564031/ref=sr_bs_9_1380564031_1,"Storite 2 Pack Moisture Proof Nylon Large Size Underbed Storage Bag For Clothes (54 x 46 x 28 cm) - Black, Rectangular",₹699₹699,4.4 out of 5 stars,"18,123"
/Lenovo-Comfortable-Dedicated-Compartment-4X41C94115/dp/B09QCYXZ1H,"Lenovo 16-inch Value Lite Backpack, Comfortable, Padded Back Panel, Slim and Sleek, Dedicated Laptop Compartment, Padded Shoulder Straps for Optimal Comfort and Ergonomic Support (4X41C94115)",₹649₹649,4.6 out of 5 stars,24
/Safari-Laptop-Backpack-Compartments-Resistant/dp/B09B27CYC4,"Safari Snap 35 Ltrs Large Laptop Backpack With 3 Compartments, Water Resistant Fabric - Black (SNAP19CBBLK)",₹999₹999,3.8 out of 5 stars,355
/TRAWOC-Backpack-Trekking-Rucksack-Warranty/dp/B0847PGZZM,TRAWOC 80L Travel Backpack for Outdoor Sport Camp Hiking Trekking Bag Camping Rucksack HK007 (PARENT) 1 Year Warranty,"₹2,246₹2,246",4.4 out of 5 stars,"7,711"
/gp/bestsellers/kitchen/8464314031/ref=sr_bs_13_8464314031_1,"amazon basics Vacuum Compression Storage Bags with Hand Pump - Large, 5-Pack",₹599₹599,4.4 out of 5 stars,"11,753"
/Nivia-6853BKGR-Polyester-Black-Grey/dp/B07NLB6FRS,NIVIA Basic Duffle Polyester Bag/Gym Bags/Adjustable Shoulder Bag for Men/Duffle Gym Bags for Men/Fitness Bag/Carry Bags/Sports & Travel Bag/Sports Kit/Duffle Bags Travel,₹269₹269,4.0 out of 5 stars,"4,177"
/AUXTER-BLACKY-Duffel-Emboss-Black/dp/B07F2H25NP,AUXTER Faux Leather 23 Cms Duffle Bag(AUX_GB_LE_Black -SE__0521_Black),₹429₹429,4.3 out of 5 stars,"9,383"
/s/?k=bags+for+girls&ref=sugsr_0&pd_rd_w=mofq0&content-id=amzn1.sym.1c7db1d2-1fe9-496b-8f07-8ed64c022066:amzn1.sym.1c7db1d2-1fe9-496b-8f07-8ed64c022066&pf_rd_p=1c7db1d2-1fe9-496b-8f07-8ed64c022066&pf_rd_r=13FC0NA3CGHF5XDMZ2P0&pd_rd_wg=8xGMB&pd_rd_r=46299b45-7c0e-4b87-b6e0-e13d4f3b53de&qid=1697641414,N/A,N/A,N/A,"
                                                    bags for girls
                                                "
N/A,N/A,N/A,N/A,N/A
/gp/help/customer/display.html?nodeId=201889520,N/A,N/A,N/A, or 
N/A,Price and other details may vary based on product size and colour.,N/A,N/A,Price and other details may vary based on product size and colour.
/Skybags-CAMPUS-COLLEGE-LAPTOP-BACKPACK/dp/B084258ZD8,Skybags CAMPUS GREY LOGO PRINT COLLEGE LAPTOP BACKPACK 30L,"₹1,363₹1,363",4.0 out of 5 stars,317
/Genie-compartments-Resistant-Lightweight-Travelling/dp/B0C85YCDR7,"Genie Swirl Laptop Backpack for Women, 3 compartments, Water Resistant and Lightweight Bags for Office and Travelling Purpose. 36 litres. (19 inch). Tie-dye print",₹899₹899,3.9 out of 5 stars,16
/FLYNGO-Insulated-School-Tiffine-Storage/dp/B0CJR5Z3ZB,"FLYNGO Insulated Lunch Bag for Kids School, Men, Women Office, Travel Tiffine Pouch for Lunch Box, Heat&Cold Insulated Storage Bag (Blue Leaf)",₹245₹245,4.9 out of 5 stars,23
N/A,N/A,N/A,N/A,N/A
/Shalimar-Premium-Garbage-Large-Rolls/dp/B07KT98RKS,Shalimar Premium OXO - Biodegradable Garbage Bags Size 24 X 32 Inches (Large) 60 Bags (4 rolls) Dustbin Bag/Trash Bag - Black Color,₹299₹299,4.5 out of 5 stars,"4,616"
/Amazon-Brand-Presto-Oxo-Biodegradable-Garbage/dp/B08TDCGCPK,"Amazon Brand - Presto! Oxo-Biodegradable Garbage Bags, Small - 30 bags/roll (Pack of 3, Green, For Wet Waste)",₹189₹189,4.3 out of 5 stars,636
/Gear-DOUBLE-Resistant-Backpack-Navy-Tan/dp/B0BTJ2T26W,Gear Double Decker 31L Large Water Resistant Faux Leather Anti-Theft Laptop Bag/Backpack/Office Bag for Men/Women (Navy-Tan),₹985₹985,3.6 out of 5 stars,47
/Corduroy-Reusable-Shopping-Washable-Shoulder/dp/B0BNX437F8,PALAY® Tote Bags For Women Bag Corduroy Large Capacity Reusable Shopping Bag Washable Shoulder Bags HandBags for School Work Shopping Travel Daily Use Grocery,₹488₹488,4.3 out of 5 stars,101
/Tabelito%C2%AE-Basic-Laptop-Sleeve-Surfacepro/dp/B09NDTW8SP,Tabelito® Basic Laptop Bag Laptop Cover Laptop Bags Laptop Sleeve Office Bag Laptop Bag 15.6 inch(39.6cm) Laptop Apple/Lenovo/Asus/Hp/MacBook/Thinkpad/Ideapad (Grey),₹257₹257,4.1 out of 5 stars,"2,558"
/Stylbase-Trends-Polyester-Character-Embossed/dp/B0BNL2PBPH,"Stylbase 15 inches Kids 3D Cartoon Backpack - Lightweight, Waterproof, Adjustable Shoulder Straps, 3 Compartments, Bottle Holder - Perfect for School and Outdoor Adventures",₹551₹551,4.0 out of 5 stars,213
N/A,N/A,N/A,N/A,N/A
/Kuber-Industries-Polyester-Embroidered-CTKTC04387/dp/B07NJ8J98M,"Kuber Industries Women's Polyester Embroidered Potli Bag, Maroon (CTKTC04387)",₹533₹533,3.6 out of 5 stars,43
/AmazonBasics-Vacuum-Compression-Storage-Bags/dp/B07RP7WHHY,"amazon basics PlasticVacuum Compression Storage Bags With Hand Pump - 6-Pack (2 Jumbo, 2 Large, 2 Medium)",₹749₹749,4.4 out of 5 stars,"9,278"
/DZert-Polyester-Black-White-Backpack/dp/B07GXX2BP3,DZert Clasy Laptop Bag College Bag for Boys Girls 21 L Red Black,₹339₹339,3.8 out of 5 stars,"2,612"
/Kleeno-Cello-Clean-Garbage-Medium/dp/B09C284CTH,Kleeno by cello OXO - Biodegradable Garbage Bags Medium Size 48 cm x 53 cm 2 Pouch 30 Bags Dustbin Bag/Trash Bag,₹84₹84,4.0 out of 5 stars,2
/DaisyStar-Fashion-Handbags-Shoulder-Beaver_Handbag_37/dp/B0C8BGFJQZ,DaisyStar Women Fashion Handbags Tote Purses Stylish Ladies Women and Girls Handbag for Office Bag Ladies Travel Shoulder Bag Tote for College Girls Handbag_Variation_10,₹379₹379,4.3 out of 5 stars,20
/SPENZ-BAGS-Backpack-Raincover-Mahogany-Brown/dp/B0C3RN6QSC,"SPENZ BAGS Travel Laptop Backpack for Women & Men|Carry On Bag, College & School Students Bookbag With Raincover",₹829₹829,3.9 out of 5 stars,245
/Cockatoo-OXO-Biodegradable-Companion-Campaigning-Adventures/dp/B0CF9Q8HPN,"Cockatoo CMP01 OXO-Biodegradable Garbage Bags Medium|Your Ultimate Companion for Campaigning and Traveling|for Keeping Your Adventures Clean and Green,30 Bags/Rollx3,(18.5 X 20.5 Inch)",₹99₹99,4.8 out of 5 stars,141
/s/?k=bags+for+girls&ref=sugsr_0&pd_rd_w=aw02g&content-id=amzn1.sym.1c7db1d2-1fe9-496b-8f07-8ed64c022066:amzn1.sym.1c7db1d2-1fe9-496b-8f07-8ed64c022066&pf_rd_p=1c7db1d2-1fe9-496b-8f07-8ed64c022066&pf_rd_r=AWWFNWVJEYYRDXP5BBG5&pd_rd_wg=0DBuU&pd_rd_r=a72f13e6-ccd5-4aab-8a74-8c0da42061b4&qid=1697641416,N/A,N/A,N/A,"
                                                    bags for girls
                                                "
N/A,N/A,N/A,N/A,N/A
/gp/help/customer/display.html?nodeId=201889520,N/A,N/A,N/A, or 
N/A,Price and other details may vary based on product size and colour.,N/A,N/A,Price and other details may vary based on product size and colour.
/Wildcraft-Music-Backpack-Green-11954/dp/B07N2SBX54,Wildcraft Unisex Zip Closure Backpack (Green_Free Size),"₹1,019₹1,019",4.4 out of 5 stars,384
/Travalate-Waterproof-Polyester-Duffle-Travel/dp/B07S3FW7Z5,"Travalate Polyester 45 L Multi Pocket Ultra Light Travel Duffle Bag Organizer for Men and Women (Green, 20 X 18 X 11 Inch)",₹878₹878,3.9 out of 5 stars,"1,323"
/Amazon-Basics-Messenger-Shoulder-MacBook/dp/B00DUGZFWY,"Amazon Basics Messenger Laptop Bag with Handle & Shoulder Strap fits upto 15.6"" Laptop / MacBook for Men & Women (Black)",₹729₹729,4.2 out of 5 stars,"50,142"
N/A,N/A,N/A,N/A,N/A
/American-Tourister-Backpack-Organizer-Compatible/dp/B0C8649NY8,American Tourister Shaw Large Size Unisex Laptop Backpack with Organizer Pockets| Compatible with 17 inch Laptop - Teal,"₹1,149₹1,149",3.2 out of 5 stars,19
/Lify-Womens-Shoulder-Crossbody-Handbag/dp/B09JWKDG6R,Lify Women's Retro Large Size Canvas Shoulder Bag Hobo Crossbody Handbag Casual Tote - 1 Piece,₹320₹320,3.8 out of 5 stars,"1,859"
/Business-Casual-Compartment-Resistant-Backpack/dp/B08N6HSJJ5,URBAN WOLF 30L Casual Dual Compartment Water Resistant Laptop Backpack Unisex Bags for Office/Travel/Business/College/School (Black),₹749₹749,3.9 out of 5 stars,"1,016"
/Ezee-Garbage-Bag-Pieces-Medium/dp/B06VX7PDXC,Ezee Black Large Garbage Bags 30 Pcs | 24 x 32 Inch | 15 Pcs x Pack of 2 | Dustbin Trash Bag,₹119₹119,4.3 out of 5 stars,"10,344"
/Gear-Classic-Casual-Backpack-BKPCAMPS80304/dp/B019FBEJCO,Gear Campus8 25L Medium Water Resistant School Bag/Casual Backpack/Daypack/College Bag/for Men/Women - Green Grey,₹595₹595,4.1 out of 5 stars,"1,293"
/COSMUS-Polyester-Black-School-Backpack/dp/B078MFYJ3M,COSMUS Heavy Duty School Bag Norwich 33L waterproof Backpacks Bag With laptop compartment,"₹1,196₹1,196",4.2 out of 5 stars,434
N/A,N/A,N/A,N/A,N/A
/WildHorn-Leather-Brown-Laptop-Briefcase/dp/B01HBKKSTO,WildHorn Leather Laptop Messenger Bag for Men,"₹2,349₹2,349",4.1 out of 5 stars,267
/Half-Moon-Messenger-Multi-Pocket-Adjustable/dp/B0C5CFCLLJ,Half Moon Urban Explorer PU Leather Stylish Side Sling Cross Body Travel Office Business Messenger Bag with Multi-Pocket Zip Closure and Adjustable Straps For Men Women,₹269₹269,3.3 out of 5 stars,38
/Zebronics-Compartment-Backpacks-15-6-inch-Black/dp/B0C6KZS555,"Zebronics Camp1, 14 Liters, 1 Compartment Laptop Backpacks Fit Up to 15.6-inch Laptop, Polyester Fabric, Office Use and Mini Business Travel Bags (Black)",₹398₹398,3.5 out of 5 stars,30
/Safari-Laptop-Backpack-Compartments-Resistant/dp/B09B27CYC4,"Safari Snap 35 Ltrs Large Laptop Backpack With 3 Compartments, Water Resistant Fabric - Black (SNAP19CBBLK)",₹999₹999,3.8 out of 5 stars,355
/DARK-HORSE-Briefcase-Messenger-Compartment/dp/B0BJZF92F6,"DARK HORSE Laptop Bag Leather Briefcase 15.6 Inch Messenger Bag Satchel for Men, Padded Laptop Compartment 12 Liters , Water Resistant Shoulder Bag with Strap, Durable Office Bag, for Laptop",₹799₹799,4.0 out of 5 stars,153
/POLESTAR-Backpack-Compartment-Polyester-Warranty/dp/B0BMQ2HXYP,"POLESTAR Bold 42 L Bag for College, School, Office, Casual Multipurpose Backpack with 15.6"" Laptop Compartment, Water Resistant, Unisex Design, Stylish & Durable, 1 Year Warranty",₹729₹729,3.8 out of 5 stars,"2,000"
/Casual-Backpack-Charging-Laptop-Compartment/dp/B07J46KLFP,"FUR JADEN 15.6 Inch Laptop Backpack 25 LTR Bag for School, College and Office with USB Charging Port",₹429₹429,3.9 out of 5 stars,"10,504"
/s/?k=bags+for+girls&ref=sugsr_0&pd_rd_w=wbyZP&content-id=amzn1.sym.1c7db1d2-1fe9-496b-8f07-8ed64c022066:amzn1.sym.1c7db1d2-1fe9-496b-8f07-8ed64c022066&pf_rd_p=1c7db1d2-1fe9-496b-8f07-8ed64c022066&pf_rd_r=34YNDZMPG8JF0DYWB5V1&pd_rd_wg=WFhHd&pd_rd_r=5227bf7c-49cf-49e3-a090-657f0fa7e5fd&qid=1697641418,N/A,N/A,N/A,"
                                                    bags for girls
                                                "
N/A,N/A,N/A,N/A,N/A
/gp/help/customer/display.html?nodeId=201889520,N/A,N/A,N/A, or 
N/A,Price and other details may vary based on product size and colour.,N/A,N/A,Price and other details may vary based on product size and colour.
